Country,Exe_party_81_10,Fed_uni_81_10,Enp_81_10,MW_81_10,Exe_dom_81_10,Dispr_81_10,Plur_81_10,CB_indep_81_94,Gvt_effectiveness_96_09,Reg_quality_96_09,Rule_law_96_09,Ctrl_Corrup_96_09,Corrup_percep_2010,Growth_81_09,Growth_91_09,Inflation1_81_09,Inflation2_81_09,Inflation1_91_09,Inflation2_91_09,Unempl_81_09,Unempl_91_09,Budget_00_08,Budget_03_07,Pol_stab_96_09,Voice_and_account_96_09,EIU_dem_index_06_10,Elec_proc_and_plur_06_10,Funct_gov_06_10,Pol_particip_06_10,Pol_culture_06_10,Civ_liberties_06_10,Zenp_81_10_chsg,ZMW_81_10,ZExe_dom_81_10,ZDispr_81_10,Pop_09,Hdi_10,Plur_soc,Year,British,Socplur,lnpop,logpop,cons5_dich,zplur,plur_dich,Cons4_81_10,Cons4_dich,Corp_81_10,vatter_2009,jahn_2014,hicks_kenworthy,vergunst_2004,baccaro_2010
ARG,-1.01,1.34,3.15,82.4,8,17.98,2.7,0.39,-0.08,-0.42,-0.48,-0.38,2.9,,3.21,,,15.849,13.745,,12.531,,,-0.09,0.28,6.7,8.75,5.24,5.56,5.84,8.14,0.160411686,0.735174775,1.148814201,1.425084352,40276,0.774999976,0,1984,0,0,10.60351086,4.605046272,0,0.75158304,1,-0.867371261,0,-2.700000048,,,,,
AUL,-0.65,1.58,2.19,86.5,7.37,10.07,1.88,0.42,1.76,1.56,1.72,1.91,8.7,1.88,1.906,4.507,4.607,2.601,2.774,7.331,7.155,1.2,1.2,1.01,1.42,9.13,10,8.93,7.78,8.96,10,0.898604751,0.857925594,0.903935373,0.185297504,21875,0.936999977,0,1946,1,0,9.993100166,4.339948177,0,-0.130593166,0,-0.711440802,0,-1.879999995,-1.590000033,-0.219999999,0.165000007,0.140000001,0.479999989
AUT,0.64,0.97,3.23,47.4,5.9,2.02,0.38,0.53,1.8,1.51,1.83,1.95,7.9,1.732,1.613,2.623,2.382,2.145,1.692,3.912,4.097,-1.8,-2.2,1.15,1.37,8.56,9.58,7.98,7.78,8.34,9.12,0.098895662,-0.312698722,0.332551539,-1.076432467,8364,0.851000011,1,1945,0,0.5,9.031692505,3.922414064,1,-1.744330049,0,0.239420995,1,-0.379999995,1.919999957,2.059999943,0.959999979,1.360000014,2
BAH,-1.33,-0.18,1.74,100,7.37,15.9,3,0.41,1.14,1.01,1.16,1.28,,,,,,,,,,,-1.8,0.89,1.09,,,,,,,1.24463284,1.262105346,0.903935373,1.099072099,342,0.783999979,0,1972,1,0,5.834810734,2.534026146,0,1.074330449,1,-1.127436399,0,-3,,,,,
BAR,-1.2,-0.53,1.62,100,7.37,18.72,2,0.38,1.36,0.98,1.12,1.32,7.8,,,,,,,,,,,1.05,1.21,,,,,,,1.33690691,1.262105346,0.903935373,1.541069388,256,0.787999988,0,1966,1,0,5.54517746,2.40824008,0,-0.001494206,0,-1.26100421,0,-2,,,,,
BEL,1.1,0.44,6.13,36.3,4.21,3.75,1.33,0.3,1.68,1.24,1.31,1.37,7.1,1.552,1.371,2.93,2.756,2.062,1.961,8.744,8.054,-0.5,-0.7,0.92,1.39,8.12,9.58,8.21,6.11,7.29,9.41,-2.131062508,-0.645024359,-0.324345648,-0.805278063,10789,0.866999984,2,1946,0,1,9.286282539,4.032981396,1,-0.722296655,0,0.976427674,1,-1.330000043,2.99000001,1.210000038,0.66900003,0.639999986,3
BOT,-1.62,-0.52,1.43,100,9.9,18.48,2.6,0.33,0.62,0.67,0.61,0.85,5.8,4.486,2.907,9.989,9.922,9.676,8.824,,,,,0.88,0.62,7.57,9.17,7.5,5.19,6.67,9.31,1.483007669,1.262105346,1.887337446,1.503452659,1950,0.633000016,0,1965,1,0,7.575584888,3.290034533,0,0.644000471,1,-1.53397584,0,-2.599999905,,,,,
CAN,-1.03,1.81,2.66,89.9,7.37,13.14,3.17,0.52,1.86,1.5,1.7,1.99,8.9,1.43,1.344,3.382,3.038,2.02,1.956,8.687,8.28,1.4,1.4,1.04,1.5,9.07,9.31,9.52,7.78,8.75,10,0.537197709,0.959719062,0.903935373,0.666479111,33740,0.888000011,2,1945,1,1,10.42643929,4.528145313,0,1.257220626,1,-0.766832829,0,-3.170000076,-4.840000153,-1.549999952,0.043000001,-1.809999943,0
CR,-0.38,-0.12,2.81,85.2,3,14.77,2.2,0.37,0.36,0.55,0.56,0.61,5.3,1.667,2.615,18.289,19.229,13.606,13.141,5.88,5.534,,,0.78,1,8.04,9.58,8.21,6.11,6.88,9.41,0.421855181,0.819004536,-0.794668496,0.921959877,4579,0.725000024,0,1953,0,0,8.429235458,3.660770655,0,0.21367076,1,-0.342037767,0,-2.200000048,,,,,
DEN,1.35,-0.42,4.95,5.7,3.69,1.6,0.88,0.46,2.1,1.69,1.86,2.32,9.3,1.549,1.279,3.414,3.271,2.081,1.971,6.436,5.908,2.7,3.5,1.15,1.59,9.52,10,9.64,8.89,9.38,9.71,-1.223700047,-1.561165214,-0.52646786,-1.142261863,5529,0.865999997,0,1945,0,0,8.617762566,3.742646694,1,-1.206417799,0,1.11339879,1,-0.879999995,2.539999962,0.680000007,0.72299999,0.74000001,1
FIN,1.48,-0.83,5.05,1.4,2.68,3.34,0.67,0.28,2.07,1.66,1.89,2.33,9.2,1.951,1.59,3.466,3.499,1.728,1.588,8.436,10.839,4.5,3.8,1.41,1.57,9.23,10,9.88,7.59,8.96,9.71,-1.300595522,-1.689903855,-0.919051349,-0.869540095,5338,0.870999992,1,1945,0,0.5,8.582606316,3.727378607,1,-1.43234086,0,1.19477272,1,-0.670000017,5.639999866,0.99000001,0.878000021,1.00999999,3
FRA,-0.89,0.02,2.94,50.8,8,19.56,2.75,0.35,1.59,1.12,1.4,1.39,6.8,1.325,1.048,3.326,3.259,1.725,1.668,9.824,10.081,-2.7,-3,0.66,1.22,7.97,9.58,7.38,6.48,7.5,8.92,0.321891457,-0.210905358,1.148814201,1.672728181,62616,0.871999979,1,1958,0,0.5,11.04477596,4.796685219,0,0.805374265,1,-0.733132124,0,-2.75,-1.899999976,-0.230000004,0.395000011,-0.589999974,1
GER,0.63,2.33,3.3,43.4,4.92,2.55,0.88,0.69,1.65,1.45,1.62,1.86,7.9,1.559,1.227,,1.898,1.93,1.427,,8.521,-1.2,-1.7,0.98,1.4,8.67,9.58,8.33,7.59,8.54,9.31,0.045069132,-0.432455689,-0.048371088,-0.99336201,81880,0.88499999,1,1949,0,0.5,11.31301022,4.913177967,1,-1.206417799,0,0.357279927,1,-0.879999995,1.210000038,1.00999999,0.795000017,0.649999976,2
GRE,-0.55,-0.77,2.32,97.7,3.69,6.64,3.12,0.38,0.79,0.86,0.84,0.51,3.5,1.525,2.229,10.785,11.009,6.439,6.467,8.636,9.475,-5.9,-6.2,0.53,0.98,8.06,9.58,7.14,6.67,7.5,9.41,0.798641205,1.193245053,-0.52646786,-0.352309167,11283,0.855000019,0,1974,0,0,9.33105278,4.052424431,0,1.203429222,1,-0.278277308,0,-3.119999886,0.689999998,0.430000007,,0.059999999,
ICE,0.55,-1.09,4.01,47.8,3.28,2.48,2.17,0.34,1.86,1.32,1.81,2.13,8.5,,,,,,,,,0.3,2.9,1.36,1.5,9.67,10,9.64,8.89,10,9.81,-0.500886381,-0.300723076,-0.685833454,-1.004333615,319,0.869000018,0,1946,0,0,5.765191078,2.503790617,1,0.181396052,1,0.622944117,1,-2.170000076,2.839999914,,,,
IND,0.63,1.08,5.25,32,3.69,8.51,2.15,0.34,-0.05,-0.24,0.16,-0.36,3.3,4.274,4.759,7.969,7.472,7.463,6.872,,,-3.4,-2.5,-0.98,0.37,7.59,9.58,8.33,5.19,5.42,9.41,-1.454385519,-0.773763061,-0.52646786,-0.059211574,1155348,0.518999994,2,1977,1,1,13.9599123,6.062712669,1,0.159879595,1,0.703456998,1,-2.150000095,,-0.430000007,,,
IRE,0.38,-0.46,2.95,31,2.95,4.17,2.42,0.41,1.62,1.65,1.6,1.57,8,3.744,3.952,4.477,4.363,2.704,2.886,10.867,8.455,0.6,1.1,1.19,1.38,8.94,9.58,8.57,7.78,8.75,10,0.314201951,-0.803702354,-0.814103305,-0.739448667,4450,0.894999981,0,1948,1,0,8.400659561,3.648360014,1,0.450352222,1,0.510763109,1,-2.420000076,2.650000095,-0.460000008,0.066,0.370000005,3.75999999
ISR,1.38,-0.81,5.65,18.6,1.13,3.76,1.5,0.46,1.08,1.02,0.95,1.05,6.1,1.859,1.911,44.763,44.694,6.066,6.463,7.979,8.746,-2.7,-2.6,-1.07,0.66,7.41,8.89,7.21,8.15,7.5,5.29,-1.761966109,-1.174948931,-1.521530986,-0.803710699,7442,0.871999979,2,1949,1,1,8.914895058,3.871689558,1,-0.539406478,0,1.315539122,1,-1.5,,0.090000004,,,
ITA,1.13,-0.16,5.36,8.3,2.01,4.82,2.08,0.33,0.72,0.91,0.63,0.48,3.9,1.213,0.608,5.334,5.776,3.024,3.232,9.638,9.56,-2.3,-2.6,0.67,1.02,7.85,9.44,6.55,6.3,8.13,8.82,-1.538970232,-1.483323097,-1.179478049,-0.637569785,60221,0.853999972,1,1946,0,0.5,11.00577641,4.779747963,1,0.084571682,1,1.209835291,1,-2.079999924,0.430000007,-0.109999999,0.43900001,-0.219999999,2
JAM,-1.56,-0.43,1.65,100,9.83,15.41,3,0.3,0.12,0.3,-0.44,-0.36,3.3,1.104,0.858,17.851,18.916,19.317,19.121,16.806,13.816,,-2.4,-0.23,0.59,7.25,9.17,6.91,5,6.25,8.92,1.313838482,1.262105346,1.86012888,1.022271276,2670,0.688000023,0,1962,1,0,7.889833927,3.426511288,0,1.074330449,1,-1.364585996,0,-3,,,,,
JPN,0.71,0.15,3.66,14.1,2.46,10.5,1.38,0.25,1.22,0.95,1.31,1.18,7.8,1.854,0.694,0.933,0.205,0.341,-0.472,3.444,3.937,,,1.01,0.96,8.16,9.03,8.09,5.93,8.33,9.41,-0.231753364,-1.309675455,-1.004564643,0.252694309,127560,0.884000003,0,1946,0,0,11.75634193,5.105714321,1,-0.66850549,0,0.5733248,1,-1.379999995,-3.380000114,-1.029999971,0.773999989,,
KOR,-1.29,-0.1,2.85,86,8,21.97,2.9,0.27,0.94,0.71,0.88,0.45,5.4,,4.401,,,4.209,4.362,,3.498,2,1.2,0.23,0.66,8,9.44,7.5,7.22,7.5,8.33,0.391097158,0.842956007,1.148814201,2.050463438,48747,0.876999974,1,1988,0,0.5,10.79439926,4.68794775,0,0.966748059,1,-1.108332753,0,-2.900000095,,-0.270000011,,,
LUX,0.38,-0.89,3.78,50,7.37,4.14,0.88,0.33,1.85,1.68,1.79,1.9,8.5,,,,,,,,,2.2,0.8,1.42,1.49,9.03,10,9.29,7.41,8.75,9.71,-0.324027419,-0.234856725,0.903935373,-0.744150758,498,0.851999998,1,1945,0,0.5,6.210599899,2.697229385,1,-1.206417799,0,0.099774882,1,-0.879999995,0.519999981,0.239999995,,,
MAL,-0.75,-0.36,2,100,7.37,1.65,3,0.44,0.93,1.1,1.35,0.84,5.6,,,,,,,,,,-4.5,1.3,1.24,8.35,9.17,8.21,5.93,8.75,9.71,1.04470551,1.262105346,0.903935373,-1.134425044,415,0.814999998,0,1966,1,0,6.028278351,2.618048191,0,1.074330449,1,-0.519080281,0,-3,,-1.210000038,,,
MAU,0.42,-0.17,2.9,10.6,2.11,16.57,1.3,0.4,0.6,0.55,0.95,0.52,5.4,4.032,3.47,7.079,7.281,6.435,6.017,,7.461,,,0.87,0.88,8.04,9.17,8.21,5,8.13,9.71,0.35264945,-1.414462805,-1.14060843,1.204085708,1275,0.700999975,2,1976,1,1,7.150701523,3.105510235,1,-0.754571497,0,0.249584019,1,-1.299999952,,,,,
NET,1.17,0.28,4.86,39.7,2.68,1.08,1,0.48,1.89,1.71,1.72,2.08,8.8,1.722,1.743,2.398,2.124,2.276,2.269,,4.579,-0.3,-0.7,1.1,1.57,9.39,9.58,9.05,9.26,9.38,9.71,-1.154494762,-0.543230891,-0.919051349,-1.223764896,16531,0.889999986,1,1946,0,0.5,9.712992668,4.218298912,1,-1.077318788,0,0.96013546,1,-1,0.75,1.080000043,0.578000009,-0.079999998,2
NOR,1.09,-0.67,4.11,36.6,2.95,3.79,0.38,0.17,1.92,1.3,1.88,2.04,8.6,2.133,2.116,4.062,4.529,2.167,3.62,3.778,4.131,14.6,14.4,1.25,1.57,9.68,10,9.64,10,8.75,10,-0.577781379,-0.636042595,-0.814103305,-0.799008608,4827,0.938000023,0,1945,0,0,8.481980324,3.683677197,1,-1.744330049,0,0.706733942,1,-0.379999995,3.470000029,1.029999971,0.954999983,0.629999995,3
NZ,-0.17,-1.65,2.66,60,3.28,9.11,2.71,0.24,1.79,1.69,1.82,2.26,9.3,1.287,1.449,5.168,4.971,2.223,2.304,,6.367,,3.7,1.19,1.58,9.15,10,8.93,8.7,8.13,10,0.537197709,0.0645357,-0.685833454,0.034830324,4316,0.907000005,0,1946,1,0,8.370084763,3.63508153,0,0.762341321,1,0.01231743,1,-2.710000038,-5.320000172,-0.550000012,0.136000007,-0.680000007,
POR,0.04,-0.63,2.85,55.4,3.69,4.85,2.62,0.32,1.11,1.13,1.16,1.22,6,2.047,1.459,8.453,8.753,3.792,4.166,6.453,6.197,-3.3,-3.6,1.01,1.32,8.08,9.58,7.97,5.93,7.5,9.41,0.391097158,-0.073184773,-0.52646786,-0.632867754,10632,0.795000017,0,1976,0,0,9.271623611,4.026615143,1,0.665516913,1,0.210355803,1,-2.619999886,1.659999967,-0.02,,-0.039999999,
SPA,-0.63,0.42,2.61,71.6,7.37,6.53,3.04,0.29,1.4,1.22,1.2,1.23,6.1,1.989,1.688,5.47,5.75,3.422,3.815,16.29,15.432,0.5,1.2,0.27,1.19,8.32,9.58,7.98,6.3,8.33,9.41,0.575645447,0.411830872,0.903935373,-0.369550139,45958,0.862999976,2,1977,0,1,10.73548317,4.662361145,0,1.117363334,1,-0.380465388,0,-3.039999962,-0.389999986,0.589999974,,-0.370000005,1.129999995
SWE,0.87,-1.09,3.82,42.6,4.92,1.95,0.42,0.29,1.96,1.5,1.81,2.17,9.2,1.64,1.493,3.915,4.061,1.968,2.182,5.618,7.145,,,1.25,1.55,9.75,9.86,9.88,9.63,9.38,10,-0.354785413,-0.45640716,-0.048371088,-1.087404013,9302,0.88499999,0,1948,0,0,9.137984276,3.968576431,1,-1.701297045,0,0.48674193,1,-0.419999987,2.839999914,1.25999999,0.97299999,1.389999986,1
SWI,1.67,1.59,5.5,1.7,1,3.08,0.88,0.68,1.97,1.56,1.84,2.06,8.7,0.91,0.545,2.125,2.059,1.45,1.274,,3.465,0.4,-0.1,1.25,1.52,9.09,9.58,9.29,7.78,9.17,9.61,-1.646623373,-1.680922151,-1.572061539,-0.910291612,7731,0.874000013,2,1947,0,1,8.952993393,3.888235569,1,-1.206417799,0,1.452474713,1,-0.879999995,-1.789999962,-0.200000003,0.550000012,-0.319999993,
TRI,-0.79,-0.34,1.88,90.7,4.21,11.67,3,0.3,0.3,0.68,0.09,0.11,3.6,1.615,4.209,7.752,5.752,6.001,5.523,13.934,12.308,,2.5,0.04,0.61,7.18,9.44,6.91,6.11,5.42,8.04,1.136979699,0.983670354,-0.324345648,0.436076194,1339,0.736000001,2,1961,1,1,7.199678421,3.12678051,0,1.074330449,1,-0.558095157,0,-3,,,,,
UK,-1.48,-1.12,2.27,99.8,9.83,16,3.08,0.28,1.76,1.69,1.65,1.9,7.6,1.96,1.642,4.119,4.032,2.821,2.743,,6.661,-2.1,-3,0.62,1.33,8.13,9.58,8.33,5.37,8.34,9.02,0.837088764,1.256117582,1.86012888,1.114745855,61838,0.848999977,0,1945,1,0,11.03227329,4.791255474,0,1.160396338,1,-1.267020226,0,-3.079999924,-4.78000021,-1.330000043,0.096000001,-0.75,0
URU,0.31,-0.84,4.4,80.3,4,6.05,1.7,0.19,0.51,0.46,0.57,0.94,6.9,,2.732,,,24.313,23.02,,11.198,-2.5,-2.1,0.77,0.96,8.05,10,8.33,4.81,7.29,9.81,-0.800777197,0.672302425,-0.405971944,-0.444783717,3345,0.764999986,0,1985,0,0,8.115221977,3.524396181,1,-0.324241549,0,0.244807601,1,-1.700000048,,,,,
US,-0.63,2.18,2.37,78.9,4,13.35,2.88,0.56,1.64,1.51,1.54,1.53,7.1,1.731,1.439,3.37,2.939,2.649,2.249,6.159,5.653,,-2.8,0.5,1.25,8.21,8.89,7.86,7.22,8.54,8.53,0.760193706,0.630387425,-0.405971944,0.699393809,307007,0.90200001,1,1946,1,0.5,12.63462543,5.487148285,0,0.945231557,1,-0.421000749,0,-2.880000114,-6.170000076,-1.649999976,0.023,-2.24000001,0
